Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.12     0.00  3218698     0.00     0.00  Eigen::IOFormat::IOFormat(int, int, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.12     0.00  3145480     0.00     0.00  std::vector<bool, std::allocator<bool> >::swap(std::vector<bool, std::allocator<bool> >&)
  0.00      0.12     0.00  3016163     0.00     0.00  std::vector<statistics, std::allocator<statistics> >::_S_relocate(statistics*, statistics*, statistics*, std::allocator<statistics>&)
  0.00      0.12     0.00  1609349     0.00     0.00  Eigen::PlainObjectBase<Eigen::Matrix<int, -1, -1, 0, -1, -1> >::cols() const
  0.00      0.12     0.00  1565018     0.00     0.00  Eigen::DenseBase<Eigen::Matrix<int, -1, -1, 0, -1, -1> >::Constant(long, long, int const&)
  0.00      0.12     0.00  1491697     0.00     0.00  __gnu_cxx::__normal_iterator<cluster_attributes*, std::vector<cluster_attributes, std::allocator<cluster_attributes> > >::__normal_iterator(cluster_attributes* const&)
  0.00      0.12     0.00  1200636     0.00     0.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::operator()()
  0.00      0.12     0.00  1163996     0.00     0.00  std::ios_base::setf(std::_Ios_Fmtflags)
  0.00      0.12     0.00  1163976     0.00     0.00  float std::generate_canonical<float, 24ul, std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  0.00      0.12     0.00   909719     0.00     0.00  Eigen::PlainObjectBase<Eigen::Matrix<int, -1, -1, 0, -1, -1> >::PlainObjectBase()
  0.00      0.12     0.00   783498     0.00     0.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::_M_gen_rand()
  0.00      0.12     0.00   614786     0.00     0.00  std::vector<statistics, std::allocator<statistics> >::_S_do_relocate(statistics*, statistics*, statistics*, std::allocator<statistics>&, std::integral_constant<bool, true>)
  0.00      0.12     0.00   594498     0.00     0.00  std::_Bvector_base<std::allocator<bool> >::_Bvector_impl_data::_M_reset()
  0.00      0.12     0.00   581978     0.00     0.00  void Eigen::internal::call_assignment<Eigen::Matrix<int, -1, -1, 0, -1, -1>, Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<int>, Eigen::Matrix<int, -1, -1, 0, -1, -1> > >(Eigen::Matrix<int, -1, -1, 0, -1, -1>&, Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<int>, Eigen::Matrix<int, -1, -1, 0, -1, -1> > const&)
  0.00      0.12     0.00   581978     0.00     0.00  Eigen::DenseStorage<int, -1, -1, -1, 0>::cols() const
  0.00      0.12     0.00   581978     0.00     0.00  cluster_attributes* std::__niter_wrap<cluster_attributes*>(cluster_attributes* const&, cluster_attributes*)
  0.00      0.12     0.00   581958     0.00     0.00  Eigen::Matrix<int, -1, -1, 0, -1, -1>& Eigen::Matrix<int, -1, -1, 0, -1, -1>::operator=<Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<int>, Eigen::Matrix<int, -1, -1, 0, -1, -1> > >(Eigen::DenseBase<Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<int>, Eigen::Matrix<int, -1, -1, 0, -1, -1> > > const&)
  0.00      0.12     0.00   581958     0.00     0.00  std::uniform_real_distribution<float>::uniform_real_distribution(float, float)
  0.00      0.12     0.00   570749     0.00     0.00  cluster_attributes* std::__uninitialized_move_if_noexcept_a<cluster_attributes*, cluster_attributes*, std::allocator<cluster_attributes> >(cluster_attributes*, cluster_attributes*, cluster_attributes*, std::allocator<cluster_attributes>&)
  0.00      0.12     0.00   570612     0.00     0.00  std::vector<cluster_attributes, std::allocator<cluster_attributes> >::push_back(cluster_attributes const&)
  0.00      0.12     0.00   461252     0.00     0.00  std::vector<int, std::allocator<int> >::push_back(int const&)
  0.00      0.12     0.00   442932     0.00     0.00  std::allocator_traits<std::allocator<int> >::deallocate(std::allocator<int>&, int*, unsigned long)
  0.00      0.12     0.00   406155     0.00     0.00  void std::vector<cluster_attributes, std::allocator<cluster_attributes> >::_M_realloc_insert<cluster_attributes const&>(__gnu_cxx::__normal_iterator<cluster_attributes*, std::vector<cluster_attributes, std::allocator<cluster_attributes> > >, cluster_attributes const&)
  0.00      0.12     0.00   386469     0.00     0.00  std::_Bit_iterator::operator*() const
  0.00      0.12     0.00   386469     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl_data::_M_swap_data(std::_Vector_base<int, std::allocator<int> >::_Vector_impl_data&)
  0.00      0.12     0.00   386469     0.00     0.00  std::_Bit_iterator::operator+=(long)
  0.00      0.12     0.00   386469     0.00     0.00  std::_Bit_iterator_base::_Bit_iterator_base(unsigned long*, unsigned int)
  0.00      0.12     0.00   368286     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<int>, int>::_S_on_swap(std::allocator<int>&, std::allocator<int>&)
  0.00      0.12     0.00   364742     0.00     0.00  Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<int>, Eigen::Matrix<int, -1, -1, 0, -1, -1> > const Eigen::DenseBase<Eigen::Matrix<int, -1, -1, 0, -1, -1> >::NullaryExpr<Eigen::internal::scalar_constant_op<int> >(long, long, Eigen::internal::scalar_constant_op<int> const&)
  0.00      0.12     0.00   327781     0.00     0.00  Eigen::Matrix<int, -1, -1, 0, -1, -1>::Matrix<unsigned int, unsigned int>(unsigned int const&, unsigned int const&)
  0.00      0.12     0.00   327680     0.00     0.00  Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<int>, Eigen::Matrix<int, -1, -1, 0, -1, -1> >::CwiseNullaryOp(long, long, Eigen::internal::scalar_constant_op<int> const&)
  0.00      0.12     0.00   327680     0.00     0.00  Eigen::EigenBase<Eigen::Matrix<int, -1, -1, 0, -1, -1> >::derived()
  0.00      0.12     0.00   327680     0.00     0.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::mersenne_twister_engine(unsigned long)
  0.00      0.12     0.00   327680     0.00     0.00  std::uniform_real_distribution<float>::param_type::param_type(float, float)
  0.00      0.12     0.00   327680     0.00     0.00  unsigned long std::__detail::__mod<unsigned long, 624ul, 1ul, 0ul>(unsigned long)
  0.00      0.12     0.00   245760     0.00     0.00  void Eigen::internal::generic_dense_assignment_kernel<Eigen::internal::evaluator<Eigen::Matrix<int, -1, -1, 0, -1, -1> >, Eigen::internal::evaluator<Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<int>, Eigen::Matrix<int, -1, -1, 0, -1, -1> > >, Eigen::internal::assign_op<int, int>, 0>::assignPacket<16, 16, long long __vector(2)>(long)
  0.00      0.12     0.00   212306     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long)
  0.00      0.12     0.00   193986     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned long)
  0.00      0.12     0.00   193986     0.00     0.00  std::vector<cluster_attributes, std::allocator<cluster_attributes> >::_S_do_relocate(cluster_attributes*, cluster_attributes*, cluster_attributes*, std::allocator<cluster_attributes>&, std::integral_constant<bool, true>)
  0.00      0.12     0.00   184143     0.00     0.00  void std::allocator_traits<std::allocator<cluster_attributes> >::destroy<cluster_attributes>(std::allocator<cluster_attributes>&, cluster_attributes*)
  0.00      0.12     0.00   133704     0.00     0.00  Eigen::DenseCoeffsBase<Eigen::Matrix<int, -1, -1, 0, -1, -1>, 1>::coeffRef(long, long)
  0.00      0.12     0.00    91600     0.00     0.00  std::vector<int, std::allocator<int> >::_M_check_len(unsigned long, char const*) const
  0.00      0.12     0.00    81960     0.00     0.00  cluster_attributes* std::__copy_move<true, true, std::random_access_iterator_tag>::__copy_m<cluster_attributes>(cluster_attributes const*, cluster_attributes const*, cluster_attributes*)
  0.00      0.12     0.00    81920     0.00     0.00  Eigen::internal::aligned_malloc(unsigned long)
  0.00      0.12     0.00    81920     0.00     0.00  Eigen::internal::throw_std_bad_alloc()
  0.00      0.12     0.00    81920     0.00     0.00  Eigen::internal::generic_dense_assignment_kernel<Eigen::internal::evaluator<Eigen::Matrix<int, -1, -1, 0, -1, -1> >, Eigen::internal::evaluator<Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<int>, Eigen::Matrix<int, -1, -1, 0, -1, -1> > >, Eigen::internal::assign_op<int, int>, 0>::assignCoeff(long)
  0.00      0.12     0.00    81920     0.00     0.00  long long __vector(2) Eigen::internal::evaluator<Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<int>, Eigen::Matrix<int, -1, -1, 0, -1, -1> > >::packet<16, long long __vector(2), long>(long) const
  0.00      0.12     0.00    74646     0.00     0.00  Eigen::internal::evaluator<Eigen::PlainObjectBase<Eigen::Matrix<int, -1, -1, 0, -1, -1> > >::evaluator(Eigen::PlainObjectBase<Eigen::Matrix<int, -1, -1, 0, -1, -1> > const&)
  0.00      0.12     0.00    73280     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::difference_type __gnu_cxx::operator-<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&)
  0.00      0.12     0.00    73280     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      0.12     0.00    59058     0.00     0.00  Eigen::DenseCoeffsBase<Eigen::Matrix<int, -1, -1, 0, -1, -1>, 1>::operator()(long, long)
  0.00      0.12     0.00    54960     0.00     0.00  Eigen::PlainObjectBase<Eigen::Matrix<int, -1, -1, 0, -1, -1> >::data() const
  0.00      0.12     0.00    38006     0.00     0.00  std::uniform_real_distribution<float>::param_type::b() const
  0.00      0.12     0.00    36640     0.00     0.00  Eigen::internal::variable_if_dynamic<long, -1>::variable_if_dynamic(long)
  0.00      0.12     0.00    36640     0.00     0.00  Eigen::internal::variable_if_dynamic<long, -1>::value() const
  0.00      0.12     0.00    29529     0.00     0.00  Eigen::internal::evaluator<Eigen::PlainObjectBase<Eigen::Matrix<int, -1, -1, 0, -1, -1> > >::coeffRef(long, long)
  0.00      0.12     0.00    29529     0.00     0.00  Eigen::internal::evaluator<Eigen::Matrix<int, -1, -1, 0, -1, -1> >::~evaluator()
  0.00      0.12     0.00    29529     0.00     0.00  std::vector<cluster_attributes, std::allocator<cluster_attributes> >::_S_relocate(cluster_attributes*, cluster_attributes*, cluster_attributes*, std::allocator<cluster_attributes>&)
  0.00      0.12     0.00    22268     0.00     0.00  std::ostream& Eigen::internal::print_matrix<Eigen::Matrix<int, -1, -1, 0, -1, -1> >(std::ostream&, Eigen::Matrix<int, -1, -1, 0, -1, -1> const&, Eigen::IOFormat const&)
  0.00      0.12     0.00    21327     0.00     0.00  std::ostream& Eigen::operator<< <Eigen::Matrix<int, -1, -1, 0, -1, -1> >(std::ostream&, Eigen::DenseBase<Eigen::Matrix<int, -1, -1, 0, -1, -1> > const&)
  0.00      0.12     0.00    19891     0.00     0.00  std::vector<int, std::allocator<int> >::_S_relocate(int*, int*, int*, std::allocator<int>&)
  0.00      0.12     0.00    19686     0.00     0.00  Eigen::PlainObjectBase<Eigen::Matrix<int, -1, -1, 0, -1, -1> >::~PlainObjectBase()
  0.00      0.12     0.00    19686     0.00     0.00  Eigen::Matrix<int, -1, -1, 0, -1, -1>::~Matrix()
  0.00      0.12     0.00    19686     0.00     0.00  Eigen::internal::evaluator<Eigen::PlainObjectBase<Eigen::Matrix<int, -1, -1, 0, -1, -1> > >::~evaluator()
  0.00      0.12     0.00    19686     0.00     0.00  Eigen::internal::evaluator<Eigen::Matrix<int, -1, -1, 0, -1, -1> >::evaluator(Eigen::Matrix<int, -1, -1, 0, -1, -1> const&)
  0.00      0.12     0.00    19686     0.00     0.00  std::allocator<int>::allocator()
  0.00      0.12     0.00    19686     0.00     0.00  std::vector<cluster_attributes, std::allocator<cluster_attributes> >::vector()
  0.00      0.12     0.00    19686     0.00     0.00  std::vector<bool, std::allocator<bool> >::operator[](unsigned long)
  0.00      0.12     0.00    18531     0.00     0.00  cluster_attributes* std::__uninitialized_copy<true>::__uninit_copy<__gnu_cxx::__normal_iterator<cluster_attributes const*, std::vector<cluster_attributes, std::allocator<cluster_attributes> > >, cluster_attributes*>(__gnu_cxx::__normal_iterator<cluster_attributes const*, std::vector<cluster_attributes, std::allocator<cluster_attributes> > >, __gnu_cxx::__normal_iterator<cluster_attributes const*, std::vector<cluster_attributes, std::allocator<cluster_attributes> > >, cluster_attributes*)
  0.00      0.12     0.00    18320     0.00     0.00  Eigen::internal::evaluator_base<Eigen::Matrix<int, -1, -1, 0, -1, -1> >::evaluator_base()
  0.00      0.12     0.00    16384     0.00     0.00  statistics* std::__uninitialized_move_if_noexcept_a<statistics*, statistics*, std::allocator<statistics> >(statistics*, statistics*, statistics*, std::allocator<statistics>&)
  0.00      0.12     0.00    16384     0.00     0.00  std::operator|(std::_Ios_Fmtflags, std::_Ios_Fmtflags)
  0.00      0.12     0.00    12540     0.00     0.00  Eigen::DenseStorage<int, -1, -1, -1, 0>::resize(long, long, long)
  0.00      0.12     0.00    12480     0.00     0.00  std::allocator_traits<std::allocator<unsigned long> >::deallocate(std::allocator<unsigned long>&, unsigned long*, unsigned long)
  0.00      0.12     0.00    12460     0.00     0.00  std::allocator<unsigned long>::allocator(std::allocator<unsigned long> const&)
  0.00      0.12     0.00    10427     0.00     0.00  std::vector<cluster_attributes, std::allocator<cluster_attributes> >::begin()
  0.00      0.12     0.00     9843     0.00     0.00  std::allocator<int>::~allocator()
  0.00      0.12     0.00     9843     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl_data::_Vector_impl_data()
  0.00      0.12     0.00     9843     0.00     0.00  std::vector<int, std::allocator<int> >::back()
  0.00      0.12     0.00     9843     0.00     0.00  std::vector<int, std::allocator<int> >::pop_back()
  0.00      0.12     0.00     9843     0.00     0.00  void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&)
  0.00      0.12     0.00     8477     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl_data::_M_copy_data(std::_Vector_base<int, std::allocator<int> >::_Vector_impl_data const&)
  0.00      0.12     0.00     2295     0.00     0.00  std::enable_if<std::__is_bitwise_relocatable<int, void>::value, int*>::type std::__relocate_a_1<int, int>(int*, int*, int*, std::allocator<int>&)
  0.00      0.12     0.00      840     0.00     0.00  std::vector<cluster_attributes, std::allocator<cluster_attributes> >::_M_check_len(unsigned long, char const*) const
  0.00      0.12     0.00      840     0.00     0.00  std::_Vector_base<cluster_attributes, std::allocator<cluster_attributes> >::_Vector_impl_data::_Vector_impl_data()
  0.00      0.12     0.00      635     0.00     0.00  int* std::__relocate_a<int*, int*, std::allocator<int> >(int*, int*, int*, std::allocator<int>&)
  0.00      0.12     0.00      615     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator-(long) const
  0.00      0.12     0.00      540     0.00     0.00  statistics* std::__uninitialized_copy<true>::__uninit_copy<std::move_iterator<statistics*>, statistics*>(std::move_iterator<statistics*>, std::move_iterator<statistics*>, statistics*)
  0.00      0.12     0.00      530     0.00     0.00  void std::_Destroy<statistics*, statistics>(statistics*, statistics*, std::allocator<statistics>&)
  0.00      0.12     0.00      430     0.00     0.00  std::_Vector_base<cluster_attributes, std::allocator<cluster_attributes> >::_M_deallocate(cluster_attributes*, unsigned long)
  0.00      0.12     0.00      410     0.00     0.00  std::allocator_traits<std::allocator<int> >::allocate(std::allocator<int>&, unsigned long)
  0.00      0.12     0.00      410     0.00     0.00  int* std::__niter_base<int*>(int*)
  0.00      0.12     0.00      410     0.00     0.00  int* std::uninitialized_copy<std::move_iterator<int*>, int*>(std::move_iterator<int*>, std::move_iterator<int*>, int*)
  0.00      0.12     0.00      410     0.00     0.00  std::move_iterator<int*> std::__make_move_if_noexcept_iterator<int, std::move_iterator<int*> >(int*)
  0.00      0.12     0.00      353     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char*>(char*, char*, std::forward_iterator_tag)
  0.00      0.12     0.00      265     0.00     0.00  std::_Vector_base<statistics, std::allocator<statistics> >::_M_get_Tp_allocator()
  0.00      0.12     0.00      225     0.00     0.00  std::vector<int, std::allocator<int> >::_S_do_relocate(int*, int*, int*, std::allocator<int>&, std::integral_constant<bool, true>)
  0.00      0.12     0.00      225     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct_aux<char*>(char*, char*, std::__false_type)
  0.00      0.12     0.00      205     0.00     0.00  int* std::__uninitialized_move_if_noexcept_a<int*, int*, std::allocator<int> >(int*, int*, int*, std::allocator<int>&)
  0.00      0.12     0.00      120     0.00     0.00  std::_Bvector_base<std::allocator<bool> >::_Bvector_impl::_M_end_addr() const
  0.00      0.12     0.00      120     0.00     0.00  std::_Vector_base<statistics, std::allocator<statistics> >::~_Vector_base()
  0.00      0.12     0.00      120     0.00     0.00  std::vector<bool, std::allocator<bool> >::vector(unsigned long, bool const&, std::allocator<bool> const&)
  0.00      0.12     0.00      100     0.00     0.00  Eigen::PlainObjectBase<Eigen::Matrix<int, -1, -1, 0, -1, -1> >::resize(long, long)
  0.00      0.12     0.00      100     0.00     0.00  std::allocator<unsigned long>::allocator<bool>(std::allocator<bool> const&)
  0.00      0.12     0.00      100     0.00     0.00  std::vector<bool, std::allocator<bool> >::_M_initialize_value(bool)
  0.00      0.12     0.00      100     0.00     0.00  std::enable_if<std::__is_bitwise_relocatable<statistics, void>::value, statistics*>::type std::__relocate_a_1<statistics, statistics>(statistics*, statistics*, statistics*, std::allocator<statistics>&)
  0.00      0.12     0.00       80     0.00     0.00  __gnu_cxx::new_allocator<statistics>::~new_allocator()
  0.00      0.12     0.00       80     0.00     0.00  std::_Vector_base<statistics, std::allocator<statistics> >::_M_deallocate(statistics*, unsigned long)
  0.00      0.12     0.00       80     0.00     0.00  std::_Vector_base<cluster_attributes, std::allocator<cluster_attributes> >::_M_create_storage(unsigned long)
  0.00      0.12     0.00       80     0.00     0.00  std::vector<bool, std::allocator<bool> >::_M_initialize(unsigned long)
  0.00      0.12     0.00       78     0.00     0.00  cluster_attributes* std::__relocate_a<cluster_attributes*, cluster_attributes*, std::allocator<cluster_attributes> >(cluster_attributes*, cluster_attributes*, cluster_attributes*, std::allocator<cluster_attributes>&)
  0.00      0.12     0.00       70     0.00     0.00  void std::vector<statistics, std::allocator<statistics> >::_M_realloc_insert<statistics const&>(__gnu_cxx::__normal_iterator<statistics*, std::vector<statistics, std::allocator<statistics> > >, statistics const&)
  0.00      0.12     0.00       60     0.00     0.00  void Eigen::internal::resize_if_allowed<Eigen::Matrix<int, -1, -1, 0, -1, -1>, Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<int>, Eigen::Matrix<int, -1, -1, 0, -1, -1> >, int, int>(Eigen::Matrix<int, -1, -1, 0, -1, -1>&, Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<int>, Eigen::Matrix<int, -1, -1, 0, -1, -1> > const&, Eigen::internal::assign_op<int, int> const&)
  0.00      0.12     0.00       60     0.00     0.00  __gnu_cxx::new_allocator<statistics>::new_allocator()
  0.00      0.12     0.00       60     0.00     0.00  std::allocator<cluster_attributes>::allocator()
  0.00      0.12     0.00       60     0.00     0.00  int* std::__copy_move<true, true, std::random_access_iterator_tag>::__copy_m<int>(int const*, int const*, int*)
  0.00      0.12     0.00       60     0.00     0.00  std::_Bit_const_iterator::_Bit_const_iterator(unsigned long*, unsigned int)
  0.00      0.12     0.00       60     0.00     0.00  std::vector<statistics, std::allocator<statistics> >::~vector()
  0.00      0.12     0.00       60     0.00     0.00  __gnu_cxx::__promote_2<int, int, __gnu_cxx::__promote<int, std::__is_integer<int>::__value>::__type, __gnu_cxx::__promote<int, std::__is_integer<int>::__value>::__type>::__type std::pow<int, int>(int, int)
  0.00      0.12     0.00       60     0.00     0.00  std::enable_if<std::__and_<std::__not_<std::__is_tuple_like<std::_Bit_iterator> >, std::is_move_constructible<std::_Bit_iterator>, std::is_move_assignable<std::_Bit_iterator> >::value, void>::type std::swap<std::_Bit_iterator>(std::_Bit_iterator&, std::_Bit_iterator&)
  0.00      0.12     0.00       50     0.00     0.00  void std::vector<int, std::allocator<int> >::emplace_back<int>(int&&)
  0.00      0.12     0.00       47     0.00     0.00  std::_Vector_base<cluster_attributes, std::allocator<cluster_attributes> >::_Vector_impl_data::_M_copy_data(std::_Vector_base<cluster_attributes, std::allocator<cluster_attributes> >::_Vector_impl_data const&)
  0.00      0.12     0.00       41     0.00     0.00  std::vector<statistics, std::allocator<statistics> >::push_back(statistics const&)
  0.00      0.12     0.00       40     0.00     0.00  void Eigen::PlainObjectBase<Eigen::Matrix<int, -1, -1, 0, -1, -1> >::_init2<unsigned int, unsigned int>(long, long, Eigen::internal::enable_if<true, unsigned int>::type*)
  0.00      0.12     0.00       40     0.00     0.00  Eigen::internal::noncopyable::~noncopyable()
  0.00      0.12     0.00       40     0.00     0.00  void Eigen::internal::conditional_aligned_free<true>(void*)
  0.00      0.12     0.00       40     0.00     0.00  __gnu_cxx::new_allocator<unsigned long>::allocate(unsigned long, void const*)
  0.00      0.12     0.00       40     0.00     0.00  Eigen::DenseBase<Eigen::Matrix<int, -1, -1, 0, -1, -1> >::innerSize() const
  0.00      0.12     0.00       40     0.00     0.00  std::allocator<cluster_attributes>::allocator(std::allocator<cluster_attributes> const&)
  0.00      0.12     0.00       40     0.00     0.00  std::allocator<bool>::allocator()
  0.00      0.12     0.00       40     0.00     0.00  statistics* std::__copy_move<true, true, std::random_access_iterator_tag>::__copy_m<statistics>(statistics const*, statistics const*, statistics*)
  0.00      0.12     0.00       40     0.00     0.00  std::_Vector_base<statistics, std::allocator<statistics> >::_Vector_impl_data::_Vector_impl_data()
  0.00      0.12     0.00       40     0.00     0.00  std::_Vector_base<cluster_attributes, std::allocator<cluster_attributes> >::_Vector_base(unsigned long, std::allocator<cluster_attributes> const&)
  0.00      0.12     0.00       40     0.00     0.00  std::_Bvector_base<std::allocator<bool> >::_Bvector_impl::_Bvector_impl(std::allocator<unsigned long> const&)
  0.00      0.12     0.00       40     0.00     0.00  std::_Bvector_base<std::allocator<bool> >::_M_deallocate()
  0.00      0.12     0.00       40     0.00     0.00  std::_Bvector_base<std::allocator<bool> >::_Bvector_impl_data::_Bvector_impl_data()
  0.00      0.12     0.00       40     0.00     0.00  std::move_iterator<statistics*>::move_iterator(statistics*)
  0.00      0.12     0.00       40     0.00     0.00  std::_Bit_const_iterator::_Bit_const_iterator(std::_Bit_iterator const&)
  0.00      0.12     0.00       40     0.00     0.00  std::vector<statistics, std::allocator<statistics> >::vector()
  0.00      0.12     0.00       40     0.00     0.00  std::__detail::_Mod<unsigned long, 4294967296ul, 1ul, 0ul, true, true>::__calc(unsigned long)
  0.00      0.12     0.00       40     0.00     0.00  cluster_attributes* std::__niter_base<cluster_attributes*>(cluster_attributes*)
  0.00      0.12     0.00       40     0.00     0.00  cluster_attributes* std::__copy_move_a<true, cluster_attributes*, cluster_attributes*>(cluster_attributes*, cluster_attributes*, cluster_attributes*)
  0.00      0.12     0.00       40     0.00     0.00  cluster_attributes* std::__copy_move_a2<true, cluster_attributes*, cluster_attributes*>(cluster_attributes*, cluster_attributes*, cluster_attributes*)
  0.00      0.12     0.00       40     0.00     0.00  std::enable_if<std::__is_bitwise_relocatable<cluster_attributes, void>::value, cluster_attributes*>::type std::__relocate_a_1<cluster_attributes, cluster_attributes>(cluster_attributes*, cluster_attributes*, cluster_attributes*, std::allocator<cluster_attributes>&)
  0.00      0.12     0.00       40     0.00     0.00  void std::_Destroy<statistics*>(statistics*, statistics*)
  0.00      0.12     0.00       36     0.00     0.00  __gnu_cxx::__normal_iterator<cluster_attributes const*, std::vector<cluster_attributes, std::allocator<cluster_attributes> > > std::__miter_base<__gnu_cxx::__normal_iterator<cluster_attributes const*, std::vector<cluster_attributes, std::allocator<cluster_attributes> > > >(__gnu_cxx::__normal_iterator<cluster_attributes const*, std::vector<cluster_attributes, std::allocator<cluster_attributes> > >)
